"","x","y","layer","x_disp","layer_disp","labels"
"1",-43.725,44.775,0.166051584696582,136.275,0.166051584696582,"136, 44.8<br>CHL Anomaly: 0.166"
"2",-43.225,44.775,-0.0378039474743715,136.775,-0.0378039474743715,"137, 44.8<br>CHL Anomaly: -0.0378"
"3",-42.725,44.775,-0.124012284018081,137.275,-0.124012284018081,"137, 44.8<br>CHL Anomaly: -0.124"
"4",-42.225,44.775,-0.0432951044328729,137.775,-0.0432951044328729,"138, 44.8<br>CHL Anomaly: -0.0433"
"5",-41.725,44.775,0.119088702416665,138.275,0.119088702416665,"138, 44.8<br>CHL Anomaly: 0.119"
"6",-41.225,44.775,-0.0455861102740205,138.775,-0.0455861102740205,"139, 44.8<br>CHL Anomaly: -0.0456"
"7",-40.725,44.775,-0.147587999483478,139.275,-0.147587999483478,"139, 44.8<br>CHL Anomaly: -0.148"
"8",-40.225,44.775,0.000263212493781869,139.775,0.000263212493781869,"140, 44.8<br>CHL Anomaly: 0.000263"
"9",-39.725,44.775,-0.021034929386587,140.275,-0.021034929386587,"140, 44.8<br>CHL Anomaly: -0.021"
"10",-39.225,44.775,0.139694345765812,140.775,0.139694345765812,"141, 44.8<br>CHL Anomaly: 0.14"
"11",-38.725,44.775,0.561662110154352,141.275,0.561662110154352,"141, 44.8<br>CHL Anomaly: 0.562"
"12",-38.225,44.775,0.723994925327636,141.775,0.723994925327636,"142, 44.8<br>CHL Anomaly: 0.724"
"13",-37.225,44.775,-0.127231967672269,142.775,-0.127231967672269,"143, 44.8<br>CHL Anomaly: -0.127"
"14",-36.725,44.775,-0.0344902765341413,143.275,-0.0344902765341413,"143, 44.8<br>CHL Anomaly: -0.0345"
"15",-36.225,44.775,-0.302207960788761,143.775,-0.302207960788761,"144, 44.8<br>CHL Anomaly: -0.302"
"16",-35.725,44.775,-0.350006742479263,144.275,-0.350006742479263,"144, 44.8<br>CHL Anomaly: -0.35"
"17",-35.225,44.775,-0.224763030538909,144.775,-0.224763030538909,"145, 44.8<br>CHL Anomaly: -0.225"
"18",-34.725,44.775,-0.12416995966238,145.275,-0.12416995966238,"145, 44.8<br>CHL Anomaly: -0.124"
"19",-34.225,44.775,-0.162080471714948,145.775,-0.162080471714948,"146, 44.8<br>CHL Anomaly: -0.162"
"20",-33.725,44.775,-0.274885899830324,146.275,-0.274885899830324,"146, 44.8<br>CHL Anomaly: -0.275"
"21",-33.225,44.775,-0.307382926645659,146.775,-0.307382926645659,"147, 44.8<br>CHL Anomaly: -0.307"
"22",-32.725,44.775,-0.210474313305911,147.275,-0.210474313305911,"147, 44.8<br>CHL Anomaly: -0.21"
"23",-32.225,44.775,0.187561628940972,147.775,0.187561628940972,"148, 44.8<br>CHL Anomaly: 0.188"
"24",-31.725,44.775,0.363068517866858,148.275,0.363068517866858,"148, 44.8<br>CHL Anomaly: 0.363"
"25",-31.225,44.775,0.591554024459771,148.775,0.591554024459771,"149, 44.8<br>CHL Anomaly: 0.592"
"26",-30.725,44.775,0.415198210820894,149.275,0.415198210820894,"149, 44.8<br>CHL Anomaly: 0.415"
"27",-30.225,44.775,0.190167502875747,149.775,0.190167502875747,"150, 44.8<br>CHL Anomaly: 0.19"
"28",-29.725,44.775,0.122587019438607,150.275,0.122587019438607,"150, 44.8<br>CHL Anomaly: 0.123"
"29",-29.225,44.775,0.113109193854047,150.775,0.113109193854047,"151, 44.8<br>CHL Anomaly: 0.113"
"30",-28.725,44.775,0.139031633752012,151.275,0.139031633752012,"151, 44.8<br>CHL Anomaly: 0.139"
"31",-28.225,44.775,0.240922540838923,151.775,0.240922540838923,"152, 44.8<br>CHL Anomaly: 0.241"
"32",-27.725,44.775,0.23934249257482,152.275,0.23934249257482,"152, 44.8<br>CHL Anomaly: 0.239"
"33",-27.225,44.775,0.293555144513052,152.775,0.293555144513052,"153, 44.8<br>CHL Anomaly: 0.294"
"34",-26.725,44.775,0.223734093901294,153.275,0.223734093901294,"153, 44.8<br>CHL Anomaly: 0.224"
"35",-26.225,44.775,0.0362905445547173,153.775,0.0362905445547173,"154, 44.8<br>CHL Anomaly: 0.0363"
"36",-25.725,44.775,0.136101440737714,154.275,0.136101440737714,"154, 44.8<br>CHL Anomaly: 0.136"
"37",-25.225,44.775,0.238951643783097,154.775,0.238951643783097,"155, 44.8<br>CHL Anomaly: 0.239"
"38",-24.725,44.775,0.503828894317384,155.275,0.503828894317384,"155, 44.8<br>CHL Anomaly: 0.504"
"39",-24.225,44.775,0.615870100221134,155.775,0.615870100221134,"156, 44.8<br>CHL Anomaly: 0.616"
"40",-23.725,44.775,0.567628261368211,156.275,0.567628261368211,"156, 44.8<br>CHL Anomaly: 0.568"
"41",-23.225,44.775,0.662203951414114,156.775,0.662203951414114,"157, 44.8<br>CHL Anomaly: 0.662"
"42",-22.725,44.775,0.618558240467752,157.275,0.618558240467752,"157, 44.8<br>CHL Anomaly: 0.619"
"43",-22.225,44.775,0.618972639544665,157.775,0.618972639544665,"158, 44.8<br>CHL Anomaly: 0.619"
"44",-21.725,44.775,0.603332351199647,158.275,0.603332351199647,"158, 44.8<br>CHL Anomaly: 0.603"
"45",-21.225,44.775,0.658325000849192,158.775,0.658325000849192,"159, 44.8<br>CHL Anomaly: 0.658"
"46",-20.725,44.775,0.784745291809093,159.275,0.784745291809093,"159, 44.8<br>CHL Anomaly: 0.785"
"47",-20.225,44.775,0.650873791715671,159.775,0.650873791715671,"160, 44.8<br>CHL Anomaly: 0.651"
"48",-19.725,44.775,0.371346363186075,160.275,0.371346363186075,"160, 44.8<br>CHL Anomaly: 0.371"
"49",-19.225,44.775,0.240361713719994,160.775,0.240361713719994,"161, 44.8<br>CHL Anomaly: 0.24"
"50",-18.725,44.775,0.309933178897542,161.275,0.309933178897542,"161, 44.8<br>CHL Anomaly: 0.31"
"51",-18.225,44.775,0.117684042697365,161.775,0.117684042697365,"162, 44.8<br>CHL Anomaly: 0.118"
"52",-17.725,44.775,-0.0774818871231991,162.275,-0.0774818871231991,"162, 44.8<br>CHL Anomaly: -0.0775"
"53",-17.225,44.775,-0.248081671694676,162.775,-0.248081671694676,"163, 44.8<br>CHL Anomaly: -0.248"
"54",-16.725,44.775,-0.200562696207022,163.275,-0.200562696207022,"163, 44.8<br>CHL Anomaly: -0.201"
"55",-16.225,44.775,-0.0867826383911543,163.775,-0.0867826383911543,"164, 44.8<br>CHL Anomaly: -0.0868"
"56",-15.725,44.775,-0.0384986229882818,164.275,-0.0384986229882818,"164, 44.8<br>CHL Anomaly: -0.0385"
"57",-15.225,44.775,-0.0373711812204512,164.775,-0.0373711812204512,"165, 44.8<br>CHL Anomaly: -0.0374"
"58",-14.725,44.775,0.0189163735458062,165.275,0.0189163735458062,"165, 44.8<br>CHL Anomaly: 0.0189"
